Results Table 1
;"1"
End date;"maandag 12 april 2021 10:19:25"
Maximum Force;(kN);"15.77"
Displacement at Maximum Force;(mm);"3.08"

Time;Force;Displacement
(s);(kN);(mm)
"0.0000";"0.0001";"0.0000"
"0.1000";"0.0040";"0.0042"
"0.2000";"0.0125";"0.0133"
"0.3000";"0.0221";"0.0216"
"0.4000";"0.0267";"0.0300"
"0.5000";"0.0258";"0.0384"
"0.6000";"0.0366";"0.0466"
"0.7000";"0.0527";"0.0550"
"0.8000";"0.0694";"0.0633"
"0.9000";"0.0878";"0.0716"
"1.0000";"0.1037";"0.0800"
"1.1000";"0.1254";"0.0884"
"1.2000";"0.1479";"0.0967"
"1.3000";"0.1714";"0.1050"
"1.4000";"0.1951";"0.1133"
"1.5000";"0.2181";"0.1216"
"1.6000";"0.2404";"0.1299"
"1.7000";"0.2629";"0.1384"
"1.8000";"0.2845";"0.1467"
"1.9000";"0.3059";"0.1550"
"2.0000";"0.3283";"0.1633"
"2.1000";"0.3505";"0.1717"
"2.2000";"0.3722";"0.1799"
"2.3000";"0.3954";"0.1883"
"2.4000";"0.4172";"0.1967"
"2.5000";"0.4342";"0.2050"
"2.6000";"0.4358";"0.2133"
"2.7000";"0.4372";"0.2217"
"2.8000";"0.4411";"0.2300"
"2.9000";"0.4404";"0.2383"
"3.0000";"0.4413";"0.2467"
"3.1000";"0.4423";"0.2550"
"3.2000";"0.4431";"0.2633"
"3.3000";"0.4440";"0.2717"
"3.4000";"0.4459";"0.2800"
"3.5000";"0.4473";"0.2883"
"3.6000";"0.4486";"0.2967"
"3.7000";"0.4505";"0.3051"
"3.8000";"0.4521";"0.3133"
"3.9000";"0.4567";"0.3217"
"4.0000";"0.4858";"0.3300"
"4.1000";"0.5113";"0.3383"
"4.2000";"0.5346";"0.3467"
"4.3000";"0.5586";"0.3551"
"4.4000";"0.5825";"0.3633"
"4.5000";"0.6069";"0.3716"
"4.6000";"0.6304";"0.3800"
"4.7000";"0.6542";"0.3883"
"4.8000";"0.6782";"0.3966"
"4.9000";"0.7025";"0.4051"
"5.0000";"0.7265";"0.4134"
"5.1000";"0.7492";"0.4216"
"5.2000";"0.7730";"0.4300"
"5.3000";"0.7960";"0.4383"
"5.4000";"0.8184";"0.4466"
"5.5000";"0.8410";"0.4550"
"5.6000";"0.8630";"0.4634"
"5.7000";"0.8835";"0.4716"
"5.8000";"0.9050";"0.4800"
"5.9000";"0.9270";"0.4884"
"6.0000";"0.9480";"0.4966"
"6.1000";"0.9705";"0.5050"
"6.2000";"0.9925";"0.5134"
"6.2320";"1.0002";"0.5160"
"6.2330";"1.0005";"0.5161"
"6.3330";"0.9989";"0.5191"
"6.4330";"1.0006";"0.5210"
"6.5330";"1.0023";"0.5227"
"6.6330";"1.0051";"0.5243"
