Results Table 1
;"1"
End date;"maandag 12 april 2021 12:24:48"
Maximum Force;(kN);"22.70"
Displacement at Maximum Force;(mm);"5.92"
LVDT-10 at Maximum Force;(mm);"-0.14"

Time;Force;Displacement;LVDT-10
(s);(kN);(mm);(mm)
"0.0000";"0.2091";"0.0000";"0.0000"
"0.1000";"0.2122";"0.0046";"-0.0003"
"0.2000";"0.2184";"0.0137";"-0.0005"
"0.3000";"0.2227";"0.0220";"-0.0006"
"0.4000";"0.2270";"0.0303";"-0.0008"
"0.5000";"0.2313";"0.0387";"-0.0007"
"0.6000";"0.2348";"0.0471";"-0.0007"
"0.7000";"0.2440";"0.0554";"-0.0009"
"0.8000";"0.2541";"0.0636";"-0.0010"
"0.9000";"0.2671";"0.0720";"-0.0008"
"1.0000";"0.2719";"0.0803";"-0.0008"
"1.1000";"0.2757";"0.0886";"-0.0008"
"1.2000";"0.2746";"0.0971";"-0.0008"
"1.3000";"0.2766";"0.1054";"-0.0008"
"1.4000";"0.2796";"0.1136";"-0.0007"
"1.5000";"0.2840";"0.1220";"-0.0007"
"1.6000";"0.2878";"0.1303";"-0.0006"
"1.7000";"0.2914";"0.1386";"-0.0005"
"1.8000";"0.2962";"0.1470";"-0.0003"
"1.9000";"0.2980";"0.1554";"-0.0002"
"2.0000";"0.3005";"0.1637";"0.0000"
"2.1000";"0.3025";"0.1720";"0.0002"
"2.2000";"0.3063";"0.1804";"0.0004"
"2.3000";"0.3087";"0.1886";"0.0005"
"2.4000";"0.3117";"0.1970";"0.0005"
"2.5000";"0.3156";"0.2054";"0.0006"
"2.6000";"0.3179";"0.2137";"0.0006"
"2.7000";"0.3221";"0.2220";"0.0007"
"2.8000";"0.3275";"0.2304";"0.0008"
"2.9000";"0.3320";"0.2387";"0.0009"
"3.0000";"0.3360";"0.2469";"0.0009"
"3.1000";"0.3403";"0.2554";"0.0010"
"3.2000";"0.3423";"0.2637";"0.0010"
"3.3000";"0.3452";"0.2720";"0.0011"
"3.4000";"0.3501";"0.2803";"0.0012"
"3.5000";"0.3574";"0.2887";"0.0013"
"3.6000";"0.3624";"0.2969";"0.0014"
"3.7000";"0.3701";"0.3054";"0.0014"
"3.8000";"0.3750";"0.3138";"0.0013"
"3.9000";"0.3811";"0.3220";"0.0014"
"4.0000";"0.3864";"0.3303";"0.0014"
"4.1000";"0.3915";"0.3387";"0.0014"
"4.2000";"0.3955";"0.3470";"0.0015"
"4.3000";"0.4015";"0.3553";"0.0015"
"4.4000";"0.4038";"0.3637";"0.0014"
"4.5000";"0.4071";"0.3720";"0.0015"
"4.6000";"0.4130";"0.3803";"0.0016"
"4.7000";"0.4190";"0.3887";"0.0017"
"4.8000";"0.4219";"0.3970";"0.0016"
"4.9000";"0.4222";"0.4053";"0.0016"
"5.0000";"0.4281";"0.4137";"0.0016"
"5.1000";"0.4355";"0.4220";"0.0016"
"5.2000";"0.4413";"0.4303";"0.0016"
"5.3000";"0.4474";"0.4386";"0.0017"
"5.4000";"0.4525";"0.4470";"0.0018"
"5.5000";"0.4565";"0.4553";"0.0020"
"5.6000";"0.4612";"0.4636";"0.0019"
"5.7000";"0.4659";"0.4721";"0.0015"
"5.8000";"0.4688";"0.4804";"0.0017"
"5.9000";"0.4647";"0.4886";"0.0020"
"6.0000";"0.4661";"0.4970";"0.0021"
"6.1000";"0.4674";"0.5053";"0.0020"
"6.2000";"0.4716";"0.5136";"0.0020"
"6.3000";"0.4747";"0.5221";"0.0021"
"6.4000";"0.4833";"0.5304";"0.0020"
"6.5000";"0.4932";"0.5386";"0.0022"
"6.6000";"0.5039";"0.5470";"0.0022"
"6.7000";"0.5135";"0.5553";"0.0022"
"6.8000";"0.5237";"0.5636";"0.0020"
"6.9000";"0.5337";"0.5720";"0.0021"
"7.0000";"0.5437";"0.5804";"0.0022"
"7.1000";"0.5528";"0.5887";"0.0023"
"7.2000";"0.5611";"0.5970";"0.0024"
"7.3000";"0.5725";"0.6054";"0.0024"
"7.4000";"0.5835";"0.6136";"0.0023"
"7.5000";"0.5954";"0.6220";"0.0024"
"7.6000";"0.6066";"0.6304";"0.0025"
"7.7000";"0.6184";"0.6387";"0.0026"
"7.8000";"0.6353";"0.6470";"0.0026"
"7.9000";"0.6539";"0.6554";"0.0024"
"8.0000";"0.6718";"0.6637";"0.0024"
"8.1000";"0.6904";"0.6720";"0.0025"
"8.2000";"0.7084";"0.6804";"0.0024"
"8.3000";"0.7277";"0.6887";"0.0024"
"8.4000";"0.7449";"0.6970";"0.0025"
"8.5000";"0.7633";"0.7053";"0.0025"
"8.6000";"0.7814";"0.7137";"0.0025"
"8.7000";"0.7976";"0.7220";"0.0024"
"8.8000";"0.7972";"0.7303";"0.0020"
"8.9000";"0.8120";"0.7388";"0.0018"
"9.0000";"0.8320";"0.7470";"0.0018"
"9.1000";"0.8517";"0.7553";"0.0019"
"9.2000";"0.8698";"0.7637";"0.0019"
"9.3000";"0.8890";"0.7720";"0.0019"
"9.4000";"0.9089";"0.7803";"0.0020"
"9.5000";"0.9268";"0.7887";"0.0020"
"9.6000";"0.9441";"0.7971";"0.0019"
"9.7000";"0.9639";"0.8053";"0.0020"
"9.8000";"0.9776";"0.8137";"0.0019"
